DropNo,X,Y,Diameter,Elongation,Circularity,Intensity,Plate,Well,Target,Field,XPos,YPos,Date        ,Time    ,ImageFile
14,Transmission,,,,,,1,A1,1,2,1,21,12/8/22,12:21:48 PM,20221208_122148028_Printed_T1_F2_R21_C1_Trans__Run.png
14,265.25,132.75,29.79,1.45,1.03,136.37,,,,,,,,,
36,Transmission,,,,,,1,A1,1,2,19,21,12/8/22,12:21:50 PM,20221208_122150617_Printed_T1_F2_R21_C19_Trans__Run.png
36,342.86,168.32,26.98,1.67,1.07,147.53,,,,,,,,,
56,Transmission,,,,,,1,A1,1,2,37,21,12/8/22,12:21:53 PM,20221208_122153090_Printed_T1_F2_R21_C37_Trans__Run.png
56,247.61,163.48,23.2,1.7,1.07,154.95,,,,,,,,,
63,Transmission,,,,,,1,A1,1,2,55,21,12/8/22,12:21:54 PM,20221208_122154780_Printed_T1_F2_R21_C55_Trans__Run.png
63,346.49,169.11,28.67,1.66,1.06,149.68,,,,,,,,,
71,Transmission,,,,,,1,A1,1,2,1,27,12/8/22,12:21:56 PM,20221208_122156583_Printed_T1_F2_R27_C1_Trans__Run.png
71,325.44,168.1,26,1.8,1.09,146.04,,,,,,,,,
85,Transmission,,,,,,1,A1,1,2,19,27,12/8/22,12:21:58 PM,20221208_122158664_Printed_T1_F2_R27_C19_Trans__Run.png
85,185.11,161.33,28.04,1.59,1.05,148.19,,,,,,,,,
100,Transmission,,,,,,1,A1,1,2,37,27,12/8/22,12:22:00 PM,20221208_122200823_Printed_T1_F2_R27_C37_Trans__Run.png
100,272.23,165.83,30.64,1.62,1.06,152.07,,,,,,,,,
222,Transmission,,,,,,1,A1,1,2,55,27,12/8/22,12:22:09 PM,20221208_122209833_Printed_T1_F2_R27_C55_Trans__Run.png
222,284.5,168.02,29.12,1.59,1.05,138.36,,,,,,,,,
235,Transmission,,,,,,1,A1,1,2,1,45,12/8/22,12:22:11 PM,20221208_122211975_Printed_T1_F2_R45_C1_Trans__Run.png
235,227.61,162.96,24.87,1.7,1.07,150.03,,,,,,,,,
322,Transmission,,,,,,1,A1,1,2,19,45,12/8/22,12:22:18 PM,20221208_122218693_Printed_T1_F2_R45_C19_Trans__Run.png
322,249.05,137.13,31.28,1.51,1.04,142.9,,,,,,,,,
388,Transmission,,,,,,1,A1,1,2,37,45,12/8/22,12:22:24 PM,20221208_122224146_Printed_T1_F2_R45_C37_Trans__Run.png
388,220.03,162.56,28.28,1.6,1.05,148.95,,,,,,,,,
703,Transmission,,,,,,1,A1,1,2,55,45,12/8/22,12:22:50 PM,20221208_122250788_Printed_T1_F2_R45_C55_Trans__Run.png
703,305.67,143.4,27.02,1.72,1.07,146.5,,,,,,,,,
756,Transmission,,,,,,1,A1,1,2,1,51,12/8/22,12:22:55 PM,20221208_122255457_Printed_T1_F2_R51_C1_Trans__Run.png
756,286.04,152.25,28.96,1.6,1.05,141.52,,,,,,,,,
806,Transmission,,,,,,1,A1,1,2,19,51,12/8/22,12:22:59 PM,20221208_122259790_Printed_T1_F2_R51_C19_Trans__Run.png
806,230.98,160.26,25.69,1.54,1.05,129.11,,,,,,,,,
891,Transmission,,,,,,1,A1,1,2,37,51,12/8/22,12:23:06 PM,20221208_122306395_Printed_T1_F2_R51_C37_Trans__Run.png
891,299.42,135.66,33,1.83,1.09,144.55,,,,,,,,,
922,Transmission,,,,,,1,A1,1,2,55,51,12/8/22,12:23:09 PM,20221208_122309595_Printed_T1_F2_R51_C55_Trans__Run.png
922,291.82,138.91,28.59,1.75,1.08,137.95,,,,,,,,,
929,Transmission,,,,,,1,A1,1,2,1,63,12/8/22,12:23:11 PM,20221208_122311331_Printed_T1_F2_R63_C1_Trans__Run.png
929,221.88,136.28,25.95,1.74,1.08,153.86,,,,,,,,,
1002,Transmission,,,,,,1,A1,1,2,19,63,12/8/22,12:23:17 PM,20221208_122317117_Printed_T1_F2_R63_C19_Trans__Run.png
1002,232.45,134.02,27.25,1.57,1.05,135.05,,,,,,,,,
1029,Transmission,,,,,,1,A1,1,2,37,63,12/8/22,12:23:20 PM,20221208_122320040_Printed_T1_F2_R63_C37_Trans__Run.png
1029,179.42,135.79,27.42,1.6,1.06,141.6,,,,,,,,,
1069,Transmission,,,,,,1,A1,1,2,55,63,12/8/22,12:23:23 PM,20221208_122323863_Printed_T1_F2_R63_C55_Trans__Run.png
1069,238.86,137.85,28.35,1.53,1.04,146.53,,,,,,,,,
1142,Transmission,,,,,,1,A1,1,3,1,21,12/8/22,12:23:29 PM,20221208_122329790_Printed_T1_F3_R21_C1_Trans__Run.png
1142,180.72,139.24,28.5,1.67,1.07,147.8,,,,,,,,,
1219,Transmission,,,,,,1,A1,1,3,19,21,12/8/22,12:23:35 PM,20221208_122335996_Printed_T1_F3_R21_C19_Trans__Run.png
1219,252.46,165.54,25.6,1.59,1.05,146.46,,,,,,,,,
1686,Transmission,,,,,,1,A1,1,3,37,21,12/8/22,12:24:07 PM,20221208_122407139_Printed_T1_F3_R21_C37_Trans__Run.png
1686,297.53,140.45,28.61,1.52,1.04,137.91,,,,,,,,,
1805,Transmission,,,,,,1,A1,1,3,55,21,12/8/22,12:24:16 PM,20221208_122416139_Printed_T1_F3_R21_C55_Trans__Run.png
1805,209.46,147.37,30.71,1.59,1.05,149.64,,,,,,,,,
1873,Transmission,,,,,,1,A1,1,3,1,27,12/8/22,12:24:21 PM,20221208_122421962_Printed_T1_F3_R27_C1_Trans__Run.png
1873,238.85,150.48,31.82,1.47,1.04,144.6,,,,,,,,,
2021,Transmission,,,,,,1,A1,1,3,19,27,12/8/22,12:24:32 PM,20221208_122432734_Printed_T1_F3_R27_C19_Trans__Run.png
2021,223.89,162.81,26.01,1.71,1.07,152.32,,,,,,,,,
2025,Transmission,,,,,,1,A1,1,3,37,27,12/8/22,12:24:34 PM,20221208_122434359_Printed_T1_F3_R27_C37_Trans__Run.png
2025,280.55,147.68,27.43,1.6,1.06,139.91,,,,,,,,,
2118,Transmission,,,,,,1,A1,1,3,55,27,12/8/22,12:24:41 PM,20221208_122441705_Printed_T1_F3_R27_C55_Trans__Run.png
2118,271,169.94,29.04,1.59,1.05,137.03,,,,,,,,,
2625,Transmission,,,,,,1,A1,1,3,1,45,12/8/22,12:25:15 PM,20221208_122515629_Printed_T1_F3_R45_C1_Trans__Run.png
2625,203.77,152.18,28.09,1.63,1.06,150.81,,,,,,,,,
2669,Transmission,,,,,,1,A1,1,3,19,45,12/8/22,12:25:19 PM,20221208_122519765_Printed_T1_F3_R45_C19_Trans__Run.png
2669,217.74,139.61,30.47,1.66,1.06,147.94,,,,,,,,,
2771,Transmission,,,,,,1,A1,1,3,37,45,12/8/22,12:25:27 PM,20221208_122527610_Printed_T1_F3_R45_C37_Trans__Run.png
2771,213.84,158.29,26.07,1.56,1.05,148.7,,,,,,,,,
2873,Transmission,,,,,,1,A1,1,3,1,51,12/8/22,12:25:35 PM,20221208_122535503_Printed_T1_F3_R51_C1_Trans__Run.png
2873,341.2,161.84,27.57,1.66,1.06,146.55,,,,,,,,,
3010,Transmission,,,,,,1,A1,1,3,37,51,12/8/22,12:25:45 PM,20221208_122545544_Printed_T1_F3_R51_C37_Trans__Run.png
3010,214.99,140.26,33.45,1.61,1.06,145.57,,,,,,,,,
3108,Transmission,,,,,,1,A1,1,3,55,51,12/8/22,12:25:53 PM,20221208_122553239_Printed_T1_F3_R51_C55_Trans__Run.png
3108,241.11,162.88,24.35,1.83,1.09,146.15,,,,,,,,,
3288,Transmission,,,,,,1,A1,1,3,1,63,12/8/22,12:26:06 PM,20221208_122606258_Printed_T1_F3_R63_C1_Trans__Run.png
3288,268.29,167.1,24.65,1.94,1.11,151.51,,,,,,,,,
3360,Transmission,,,,,,1,A1,1,3,19,63,12/8/22,12:26:12 PM,20221208_122612169_Printed_T1_F3_R63_C19_Trans__Run.png
3360,222.41,161.87,29.19,1.75,1.08,148.4,,,,,,,,,
3521,Transmission,,,,,,1,A1,1,3,37,63,12/8/22,12:26:23 PM,20221208_122623919_Printed_T1_F3_R63_C37_Trans__Run.png
3521,221.46,146.57,27.34,1.54,1.05,138.25,,,,,,,,,
3536,Transmission,,,,,,1,A1,1,3,55,63,12/8/22,12:26:26 PM,20221208_122626291_Printed_T1_F3_R63_C55_Trans__Run.png
3536,311.28,140.39,24.1,1.78,1.08,141.92,,,,,,,,,
3555,Transmission,,,,,,1,A1,1,4,1,21,12/8/22,12:26:28 PM,20221208_122628978_Printed_T1_F4_R21_C1_Trans__Run.png
3555,240.88,146.75,25.74,1.59,1.05,145.3,,,,,,,,,
3676,Transmission,,,,,,1,A1,1,4,19,21,12/8/22,12:26:38 PM,20221208_122638273_Printed_T1_F4_R21_C19_Trans__Run.png
3676,324.48,156.42,30.87,1.47,1.04,145.32,,,,,,,,,
3811,Transmission,,,,,,1,A1,1,4,37,21,12/8/22,12:26:48 PM,20221208_122648417_Printed_T1_F4_R21_C37_Trans__Run.png
3811,299.81,170.23,25.35,1.71,1.07,150.21,,,,,,,,,
3929,Transmission,,,,,,1,A1,1,4,1,27,12/8/22,12:26:57 PM,20221208_122657546_Printed_T1_F4_R27_C1_Trans__Run.png
3929,231.68,155.55,27.64,1.58,1.05,150.82,,,,,,,,,
4259,Transmission,,,,,,1,A1,1,4,19,27,12/8/22,12:27:20 PM,20221208_122720129_Printed_T1_F4_R27_C19_Trans__Run.png
4259,290.17,134.19,28.7,1.67,1.07,143.18,,,,,,,,,
4317,Transmission,,,,,,1,A1,1,4,37,27,12/8/22,12:27:25 PM,20221208_122725446_Printed_T1_F4_R27_C37_Trans__Run.png
4317,200.88,141.76,28.31,1.65,1.06,148.81,,,,,,,,,
4455,Transmission,,,,,,1,A1,1,4,1,45,12/8/22,12:27:35 PM,20221208_122735773_Printed_T1_F4_R45_C1_Trans__Run.png
4455,221.94,156.56,30.75,1.55,1.05,142.29,,,,,,,,,
4946,Transmission,,,,,,1,A1,1,4,19,45,12/8/22,12:28:08 PM,20221208_122808740_Printed_T1_F4_R45_C19_Trans__Run.png
4946,328.87,149.94,32.63,1.59,1.05,149.47,,,,,,,,,
5063,Transmission,,,,,,1,A1,1,4,37,45,12/8/22,12:28:17 PM,20221208_122817857_Printed_T1_F4_R45_C37_Trans__Run.png
5063,349.26,134.08,28.07,1.57,1.05,136.45,,,,,,,,,
5088,Transmission,,,,,,1,A1,1,4,1,51,12/8/22,12:28:21 PM,20221208_122821055_Printed_T1_F4_R51_C1_Trans__Run.png
5088,319.94,167.23,29.02,1.7,1.07,150.72,,,,,,,,,
5100,Transmission,,,,,,1,A1,1,4,19,51,12/8/22,12:28:23 PM,20221208_122823347_Printed_T1_F4_R51_C19_Trans__Run.png
5100,335.31,152.2,28.45,1.55,1.05,145.89,,,,,,,,,
5261,Transmission,,,,,,1,A1,1,4,37,51,12/8/22,12:28:35 PM,20221208_122835371_Printed_T1_F4_R51_C37_Trans__Run.png
5261,246.17,151.15,21.6,1.97,1.11,145.44,,,,,,,,,
5280,Transmission,,,,,,1,A1,1,4,1,63,12/8/22,12:28:38 PM,20221208_122838198_Printed_T1_F4_R63_C1_Trans__Run.png
5280,247.54,147.24,27.37,1.47,1.04,140.17,,,,,,,,,
5420,Transmission,,,,,,1,A1,1,4,19,63,12/8/22,12:29:00 PM,20221208_122900279_Printed_T1_F4_R63_C19_Trans__Run.png
5420,314.34,157.05,27,1.64,1.06,150.44,,,,,,,,,
5500,Transmission,,,,,,1,A1,1,4,37,63,12/8/22,12:29:06 PM,20221208_122906967_Printed_T1_F4_R63_C37_Trans__Run.png
5500,241.32,140.02,29.77,1.68,1.07,150.67,,,,,,,,,
5556,Transmission,,,,,,1,A1,1,6,1,21,12/8/22,12:29:12 PM,20221208_122912151_Printed_T1_F6_R21_C1_Trans__Run.png
5556,191.84,155.5,26.95,1.44,1.03,139.44,,,,,,,,,
5775,Transmission,,,,,,1,A1,1,6,19,21,12/8/22,12:29:27 PM,20221208_122927404_Printed_T1_F6_R21_C19_Trans__Run.png
5775,329.31,132.33,29.16,1.68,1.07,143.43,,,,,,,,,
5810,Transmission,,,,,,1,A1,1,6,37,21,12/8/22,12:29:30 PM,20221208_122930863_Printed_T1_F6_R21_C37_Trans__Run.png
5810,256.68,150.17,29.43,1.49,1.04,147.1,,,,,,,,,
6021,Transmission,,,,,,1,A1,1,6,55,21,12/8/22,12:29:45 PM,20221208_122945474_Printed_T1_F6_R21_C55_Trans__Run.png
6021,219.79,140.35,24.16,1.76,1.08,142.28,,,,,,,,,
6053,Transmission,,,,,,1,A1,1,6,1,27,12/8/22,12:29:48 PM,20221208_122948816_Printed_T1_F6_R27_C1_Trans__Run.png
6053,226.44,159.48,25.05,1.6,1.06,149.84,,,,,,,,,
6098,Transmission,,,,,,1,A1,1,6,19,27,12/8/22,12:29:52 PM,20221208_122952856_Printed_T1_F6_R27_C19_Trans__Run.png
6098,230.97,160.08,28.38,1.55,1.05,148.29,,,,,,,,,
6227,Transmission,,,,,,1,A1,1,6,37,27,12/8/22,12:30:02 PM,20221208_123002319_Printed_T1_F6_R27_C37_Trans__Run.png
6227,232.48,135.4,27.77,1.58,1.05,140.15,,,,,,,,,
6307,Transmission,,,,,,1,A1,1,6,55,27,12/8/22,12:30:08 PM,20221208_123008660_Printed_T1_F6_R27_C55_Trans__Run.png
6307,174.39,133.83,27.34,1.5,1.04,137.57,,,,,,,,,
6321,Transmission,,,,,,1,A1,1,6,1,45,12/8/22,12:30:10 PM,20221208_123010871_Printed_T1_F6_R45_C1_Trans__Run.png
6321,201.42,139.13,28.24,1.67,1.07,150.47,,,,,,,,,
6337,Transmission,,,,,,1,A1,1,6,19,45,12/8/22,12:30:13 PM,20221208_123013022_Printed_T1_F6_R45_C19_Trans__Run.png
6337,207.12,136.45,26.4,1.76,1.08,146.82,,,,,,,,,
6348,Transmission,,,,,,1,A1,1,6,37,45,12/8/22,12:30:14 PM,20221208_123014948_Printed_T1_F6_R45_C37_Trans__Run.png
6348,223.84,146.96,29.34,1.59,1.05,149.61,,,,,,,,,
6499,Transmission,,,,,,1,A1,1,6,55,45,12/8/22,12:30:25 PM,20221208_123025831_Printed_T1_F6_R45_C55_Trans__Run.png
6499,322.99,166.23,32.29,1.57,1.05,152.03,,,,,,,,,
6623,Transmission,,,,,,1,A1,1,6,1,51,12/8/22,12:30:35 PM,20221208_123035120_Printed_T1_F6_R51_C1_Trans__Run.png
6623,302.76,135.05,28.58,1.66,1.06,138.9,,,,,,,,,
6687,Transmission,,,,,,1,A1,1,6,19,51,12/8/22,12:30:40 PM,20221208_123040318_Printed_T1_F6_R51_C19_Trans__Run.png
6687,217.35,145.19,26.69,1.52,1.04,143.43,,,,,,,,,
6736,Transmission,,,,,,1,A1,1,6,37,51,12/8/22,12:30:44 PM,20221208_123044684_Printed_T1_F6_R51_C37_Trans__Run.png
6736,220.75,136.64,30.5,1.48,1.04,142.24,,,,,,,,,
6765,Transmission,,,,,,1,A1,1,6,55,51,12/8/22,12:30:47 PM,20221208_123047780_Printed_T1_F6_R51_C55_Trans__Run.png
6765,203.22,143.36,28.85,1.56,1.05,145.38,,,,,,,,,
6784,Transmission,,,,,,1,A1,1,6,1,63,12/8/22,12:30:50 PM,20221208_123050320_Printed_T1_F6_R63_C1_Trans__Run.png
6784,247.23,159.35,31.33,1.61,1.06,152.74,,,,,,,,,
7049,Transmission,,,,,,1,A1,1,6,19,63,12/8/22,12:31:08 PM,20221208_123108381_Printed_T1_F6_R63_C19_Trans__Run.png
7049,262.79,150.26,28.34,1.65,1.06,148.35,,,,,,,,,
7138,Transmission,,,,,,1,A1,1,6,37,63,12/8/22,12:31:15 PM,20221208_123115179_Printed_T1_F6_R63_C37_Trans__Run.png
7138,321.49,161.44,25.12,1.52,1.04,143.33,,,,,,,,,
7239,Transmission,,,,,,1,A1,1,6,55,63,12/8/22,12:31:22 PM,20221208_123122863_Printed_T1_F6_R63_C55_Trans__Run.png
7239,269.74,133.39,29.93,1.47,1.04,135.06,,,,,,,,,
7674,Transmission,,,,,,1,A1,1,7,1,21,12/8/22,12:31:52 PM,20221208_123152102_Printed_T1_F7_R21_C1_Trans__Run.png
7674,274.32,163.66,23.03,1.96,1.11,151.45,,,,,,,,,
7826,Transmission,,,,,,1,A1,1,7,19,21,12/8/22,12:32:03 PM,20221208_123203116_Printed_T1_F7_R21_C19_Trans__Run.png
7826,247.78,137.25,29.46,1.59,1.05,141.02,,,,,,,,,
7926,Transmission,,,,,,1,A1,1,7,55,21,12/8/22,12:32:10 PM,20221208_123210892_Printed_T1_F7_R21_C55_Trans__Run.png
7926,323.1,168.24,28.63,1.67,1.07,147.24,,,,,,,,,
8238,Transmission,,,,,,1,A1,1,7,1,27,12/8/22,12:32:32 PM,20221208_123232198_Printed_T1_F7_R27_C1_Trans__Run.png
8238,324.98,132.55,30.14,1.49,1.04,138.9,,,,,,,,,
8308,Transmission,,,,,,1,A1,1,7,37,27,12/8/22,12:32:38 PM,20221208_123238020_Printed_T1_F7_R27_C37_Trans__Run.png
8308,217.1,148.08,27.45,1.54,1.05,149.88,,,,,,,,,
8656,Transmission,,,,,,1,A1,1,7,55,27,12/8/22,12:33:01 PM,20221208_123301731_Printed_T1_F7_R27_C55_Trans__Run.png
8656,292.48,147.99,30.19,1.61,1.06,146.64,,,,,,,,,
8695,Transmission,,,,,,1,A1,1,7,1,45,12/8/22,12:33:05 PM,20221208_123305718_Printed_T1_F7_R45_C1_Trans__Run.png
8695,341.79,132.4,27.55,1.66,1.06,139.14,,,,,,,,,
8718,Transmission,,,,,,1,A1,1,7,19,45,12/8/22,12:33:08 PM,20221208_123308516_Printed_T1_F7_R45_C19_Trans__Run.png
8718,239.43,150.88,27.44,1.51,1.04,135.17,,,,,,,,,
8795,Transmission,,,,,,1,A1,1,7,37,45,12/8/22,12:33:14 PM,20221208_123314801_Printed_T1_F7_R45_C37_Trans__Run.png
8795,197.88,161.6,26.55,1.53,1.05,148.45,,,,,,,,,
8835,Transmission,,,,,,1,A1,1,7,55,45,12/8/22,12:33:18 PM,20221208_123318818_Printed_T1_F7_R45_C55_Trans__Run.png
8835,333.7,136.03,26.95,1.58,1.05,141.03,,,,,,,,,
8870,Transmission,,,,,,1,A1,1,7,1,51,12/8/22,12:33:22 PM,20221208_123322545_Printed_T1_F7_R51_C1_Trans__Run.png
8870,234.48,160.56,28.54,1.63,1.06,149.26,,,,,,,,,
8919,Transmission,,,,,,1,A1,1,7,19,51,12/8/22,12:33:26 PM,20221208_123326992_Printed_T1_F7_R51_C19_Trans__Run.png
8919,344.75,148.9,28.16,1.72,1.07,153.78,,,,,,,,,
9000,Transmission,,,,,,1,A1,1,7,37,51,12/8/22,12:33:33 PM,20221208_123333538_Printed_T1_F7_R51_C37_Trans__Run.png
9000,233.11,152.03,28.73,1.61,1.06,149.88,,,,,,,,,
9029,Transmission,,,,,,1,A1,1,7,55,51,12/8/22,12:33:36 PM,20221208_123336824_Printed_T1_F7_R51_C55_Trans__Run.png
9029,279.97,146.13,24.51,1.63,1.06,143.98,,,,,,,,,
9116,Transmission,,,,,,1,A1,1,7,1,63,12/8/22,12:33:43 PM,20221208_123343854_Printed_T1_F7_R63_C1_Trans__Run.png
9116,233.68,139.28,24.67,1.88,1.1,140.22,,,,,,,,,
9149,Transmission,,,,,,1,A1,1,7,19,63,12/8/22,12:33:51 PM,20221208_123351025_Printed_T1_F7_R63_C19_Trans__Run.png
9149,237.98,164.21,28.53,1.65,1.06,144.09,,,,,,,,,
9197,Transmission,,,,,,1,A1,1,7,37,63,12/8/22,12:34:07 PM,20221208_123407960_Printed_T1_F7_R63_C37_Trans__Run.png
9197,259.02,143.54,31.19,1.55,1.05,149.11,,,,,,,,,
9249,Transmission,,,,,,1,A1,1,7,55,63,12/8/22,12:34:12 PM,20221208_123412686_Printed_T1_F7_R63_C55_Trans__Run.png
9249,230.95,163.56,31.11,1.64,1.06,153.11,,,,,,,,,
9383,Transmission,,,,,,1,A1,1,8,1,21,12/8/22,12:34:22 PM,20221208_123422759_Printed_T1_F8_R21_C1_Trans__Run.png
9383,286.83,147.21,31.04,1.59,1.05,145.7,,,,,,,,,
9560,Transmission,,,,,,1,A1,1,8,19,21,12/8/22,12:34:35 PM,20221208_123435934_Printed_T1_F8_R21_C19_Trans__Run.png
9560,315.7,166.18,33.04,1.52,1.04,141.51,,,,,,,,,
9580,Transmission,,,,,,1,A1,1,8,37,21,12/8/22,12:34:42 PM,20221208_123442259_Printed_T1_F8_R21_C37_Trans__Run.png
9580,287.68,167.45,28.54,1.64,1.06,146.04,,,,,,,,,
9597,Transmission,,,,,,1,A1,1,8,1,27,12/8/22,12:34:44 PM,20221208_123444958_Printed_T1_F8_R27_C1_Trans__Run.png
9597,330.82,164.22,25.29,1.54,1.05,143.82,,,,,,,,,
10119,Transmission,,,,,,1,A1,1,8,19,27,12/8/22,12:35:33 PM,20221208_123533433_Printed_T1_F8_R27_C19_Trans__Run.png
10119,336.63,142.06,29.64,1.64,1.06,146.66,,,,,,,,,
10614,Transmission,,,,,,1,A1,1,8,37,27,12/8/22,12:36:06 PM,20221208_123606627_Printed_T1_F8_R27_C37_Trans__Run.png
10614,263.29,166.52,27.49,1.71,1.07,143.52,,,,,,,,,
10694,Transmission,,,,,,1,A1,1,8,1,45,12/8/22,12:36:13 PM,20221208_123613353_Printed_T1_F8_R45_C1_Trans__Run.png
10694,242.59,168.7,26.86,1.41,1.03,147.54,,,,,,,,,
10839,Transmission,,,,,,1,A1,1,8,19,45,12/8/22,12:36:24 PM,20221208_123624138_Printed_T1_F8_R45_C19_Trans__Run.png
10839,255.73,135.6,28.1,1.62,1.06,140.77,,,,,,,,,
11025,Transmission,,,,,,1,A1,1,8,37,45,12/8/22,12:36:37 PM,20221208_123637557_Printed_T1_F8_R45_C37_Trans__Run.png
11025,210.63,139.06,24.21,1.75,1.08,145.2,,,,,,,,,
11133,Transmission,,,,,,1,A1,1,8,1,51,12/8/22,12:36:46 PM,20221208_123646024_Printed_T1_F8_R51_C1_Trans__Run.png
11133,202.37,145.79,27.28,1.47,1.04,132.7,,,,,,,,,
11176,Transmission,,,,,,1,A1,1,8,19,51,12/8/22,12:36:50 PM,20221208_123650253_Printed_T1_F8_R51_C19_Trans__Run.png
11176,343.71,137.9,29.18,1.6,1.06,146.92,,,,,,,,,
11304,Transmission,,,,,,1,A1,1,8,37,51,12/8/22,12:36:59 PM,20221208_123659891_Printed_T1_F8_R51_C37_Trans__Run.png
11304,317.66,135.46,29.59,1.64,1.06,144.83,,,,,,,,,
11432,Transmission,,,,,,1,A1,1,8,1,63,12/8/22,12:37:09 PM,20221208_123709701_Printed_T1_F8_R63_C1_Trans__Run.png
11432,318.71,161.72,24.8,1.59,1.05,144.93,,,,,,,,,
11448,Transmission,,,,,,1,A1,1,8,19,63,12/8/22,12:37:12 PM,20221208_123712258_Printed_T1_F8_R63_C19_Trans__Run.png
11448,299.88,161.64,27.59,1.5,1.04,158.86,,,,,,,,,
11455,Transmission,,,,,,1,A1,1,8,37,63,12/8/22,12:37:14 PM,20221208_123714271_Printed_T1_F8_R63_C37_Trans__Run.png
11455,319,147.21,27.25,1.47,1.04,140.35,,,,,,,,,
11485,Transmission,,,,,,1,A1,1,10,1,21,12/8/22,12:37:17 PM,20221208_123717813_Printed_T1_F10_R21_C1_Trans__Run.png
11485,320.22,142.83,28.49,1.76,1.08,150.98,,,,,,,,,
11647,Transmission,,,,,,1,A1,1,10,19,21,12/8/22,12:37:29 PM,20221208_123729398_Printed_T1_F10_R21_C19_Trans__Run.png
11647,241.97,164.36,30.78,1.64,1.06,151.92,,,,,,,,,
11754,Transmission,,,,,,1,A1,1,10,37,21,12/8/22,12:37:37 PM,20221208_123737580_Printed_T1_F10_R21_C37_Trans__Run.png
11754,268.43,145.6,26.61,1.73,1.07,146.67,,,,,,,,,
11769,Transmission,,,,,,1,A1,1,10,55,21,12/8/22,12:37:39 PM,20221208_123739915_Printed_T1_F10_R21_C55_Trans__Run.png
11769,344.57,132.32,26.4,1.55,1.05,152.37,,,,,,,,,
11833,Transmission,,,,,,1,A1,1,10,1,27,12/8/22,12:37:45 PM,20221208_123745358_Printed_T1_F10_R27_C1_Trans__Run.png
11833,229.93,159.24,27,1.53,1.05,151.89,,,,,,,,,
11954,Transmission,,,,,,1,A1,1,10,19,27,12/8/22,12:37:54 PM,20221208_123754444_Printed_T1_F10_R27_C19_Trans__Run.png
11954,228.46,162.58,22.44,1.78,1.08,154.71,,,,,,,,,
11959,Transmission,,,,,,1,A1,1,10,37,27,12/8/22,12:37:56 PM,20221208_123756097_Printed_T1_F10_R27_C37_Trans__Run.png
11959,209.19,139.03,31.49,1.61,1.06,144.31,,,,,,,,,
11965,Transmission,,,,,,1,A1,1,10,55,27,12/8/22,12:37:57 PM,20221208_123757812_Printed_T1_F10_R27_C55_Trans__Run.png
11965,241.39,167.24,26.67,1.61,1.06,146.28,,,,,,,,,
12090,Transmission,,,,,,1,A1,1,10,1,45,12/8/22,12:38:07 PM,20221208_123807190_Printed_T1_F10_R45_C1_Trans__Run.png
12090,300.48,170.79,24.19,1.76,1.08,152.31,,,,,,,,,
12210,Transmission,,,,,,1,A1,1,10,19,45,12/8/22,12:38:23 PM,20221208_123823543_Printed_T1_F10_R45_C19_Trans__Run.png
12210,244.48,142.88,28.34,1.58,1.05,139.04,,,,,,,,,
12236,Transmission,,,,,,1,A1,1,10,37,45,12/8/22,12:38:26 PM,20221208_123826685_Printed_T1_F10_R45_C37_Trans__Run.png
12236,254.41,147.67,29.85,1.56,1.05,149.39,,,,,,,,,
12239,Transmission,,,,,,1,A1,1,10,55,45,12/8/22,12:38:28 PM,20221208_123828280_Printed_T1_F10_R45_C55_Trans__Run.png
12239,272.65,137.09,29.68,1.54,1.05,138.63,,,,,,,,,
12241,Transmission,,,,,,1,A1,1,10,1,51,12/8/22,12:38:29 PM,20221208_123829792_Printed_T1_F10_R51_C1_Trans__Run.png
12241,226.72,140.85,29.9,1.54,1.05,153.73,,,,,,,,,
12281,Transmission,,,,,,1,A1,1,10,19,51,12/8/22,12:38:33 PM,20221208_123833761_Printed_T1_F10_R51_C19_Trans__Run.png
12281,283.13,171.58,24.44,1.94,1.11,141.1,,,,,,,,,
12801,Transmission,,,,,,1,A1,1,10,37,51,12/8/22,12:39:08 PM,20221208_123908565_Printed_T1_F10_R51_C37_Trans__Run.png
12801,248.61,162.97,32.64,1.56,1.05,152.25,,,,,,,,,
12814,Transmission,,,,,,1,A1,1,10,55,51,12/8/22,12:39:10 PM,20221208_123910825_Printed_T1_F10_R51_C55_Trans__Run.png
12814,297.09,162.85,29.6,1.74,1.08,148.07,,,,,,,,,
12869,Transmission,,,,,,1,A1,1,10,1,63,12/8/22,12:39:15 PM,20221208_123915767_Printed_T1_F10_R63_C1_Trans__Run.png
12869,242.68,159.74,30.52,1.69,1.07,152.21,,,,,,,,,
12873,Transmission,,,,,,1,A1,1,10,19,63,12/8/22,12:39:17 PM,20221208_123917459_Printed_T1_F10_R63_C19_Trans__Run.png
12873,301.99,167.82,29.16,1.61,1.06,147.01,,,,,,,,,
12898,Transmission,,,,,,1,A1,1,10,37,63,12/8/22,12:39:20 PM,20221208_123920527_Printed_T1_F10_R63_C37_Trans__Run.png
12898,326.13,149.42,23.16,1.54,1.05,135.36,,,,,,,,,
12980,Transmission,,,,,,1,A1,1,10,55,63,12/8/22,12:39:27 PM,20221208_123927170_Printed_T1_F10_R63_C55_Trans__Run.png
12980,227.36,142.24,27.97,1.62,1.06,153.79,,,,,,,,,
13029,Transmission,,,,,,1,A1,1,11,1,21,12/8/22,12:39:31 PM,20221208_123931768_Printed_T1_F11_R21_C1_Trans__Run.png
13029,309.5,137.97,23.92,1.86,1.09,143.97,,,,,,,,,
