DropNo,X,Y,Diameter,Elongation,Circularity,Intensity,Plate,Well,Target,Field,XPos,YPos,Date        ,Time    ,ImageFile
9554,Transmission,,,,,,1,A1,1,3,23,33,12/8/22,1:35:28 PM,20221208_133528775_Printed_T1_F3_R33_C23_Trans__Run.png
9554,253.91,160.84,26.29,1.79,1.08,151.84,,,,,,,,,
9559,Transmission,,,,,,1,A1,1,3,41,33,12/8/22,1:35:30 PM,20221208_133530471_Printed_T1_F3_R33_C41_Trans__Run.png
9559,266.1,138.24,28.71,1.66,1.06,139.73,,,,,,,,,
9696,Transmission,,,,,,1,A1,1,3,59,33,12/8/22,1:35:40 PM,20221208_133540651_Printed_T1_F3_R33_C59_Trans__Run.png
9696,278.38,167.52,30.22,1.65,1.06,145.61,,,,,,,,,
9755,Transmission,,,,,,1,A1,1,3,5,51,12/8/22,1:35:45 PM,20221208_133545914_Printed_T1_F3_R51_C5_Trans__Run.png
9755,306.75,143.16,28.37,1.57,1.05,140.16,,,,,,,,,
9971,Transmission,,,,,,1,A1,1,3,23,51,12/8/22,1:36:00 PM,20221208_133600968_Printed_T1_F3_R51_C23_Trans__Run.png
9971,260.02,166.72,28.78,1.71,1.07,143.73,,,,,,,,,
10169,Transmission,,,,,,1,A1,1,3,41,51,12/8/22,1:38:30 PM,20221208_133830586_Printed_T1_F3_R51_C41_Trans__Run.png
10169,238.99,138.73,28.23,1.51,1.04,142.13,,,,,,,,,
10202,Transmission,,,,,,1,A1,1,3,59,51,12/8/22,1:38:34 PM,20221208_133834213_Printed_T1_F3_R51_C59_Trans__Run.png
10202,285.05,154.45,29.63,1.57,1.05,148.29,,,,,,,,,
10406,Transmission,,,,,,1,A1,1,3,5,57,12/8/22,1:38:48 PM,20221208_133848552_Printed_T1_F3_R57_C5_Trans__Run.png
10406,316.92,170.13,29.61,1.66,1.06,146.45,,,,,,,,,
10554,Transmission,,,,,,1,A1,1,3,23,57,12/8/22,1:38:59 PM,20221208_133859318_Printed_T1_F3_R57_C23_Trans__Run.png
10554,269.56,164.65,33.61,1.55,1.05,147.07,,,,,,,,,
10581,Transmission,,,,,,1,A1,1,3,41,57,12/8/22,1:39:02 PM,20221208_133902447_Printed_T1_F3_R57_C41_Trans__Run.png
10581,233.43,142.61,31.94,1.62,1.06,149.53,,,,,,,,,
10583,Transmission,,,,,,1,A1,1,3,59,57,12/8/22,1:39:03 PM,20221208_133903997_Printed_T1_F3_R57_C59_Trans__Run.png
10583,265.21,139.32,31.42,1.57,1.05,139.63,,,,,,,,,
10636,Transmission,,,,,,1,A1,1,4,5,9,12/8/22,1:39:08 PM,20221208_133908831_Printed_T1_F4_R9_C5_Trans__Run.png
10636,226.25,141.79,26.9,1.82,1.09,140.73,,,,,,,,,
10918,Transmission,,,,,,1,A1,1,4,23,9,12/8/22,1:39:28 PM,20221208_133928230_Printed_T1_F4_R9_C23_Trans__Run.png
10918,283.96,160,32.37,1.41,1.03,138.16,,,,,,,,,
11054,Transmission,,,,,,1,A1,1,4,41,9,12/8/22,1:39:38 PM,20221208_133938398_Printed_T1_F4_R9_C41_Trans__Run.png
11054,277.38,166.61,27.81,1.64,1.06,148.52,,,,,,,,,
11072,Transmission,,,,,,1,A1,1,4,5,27,12/8/22,1:39:41 PM,20221208_133941185_Printed_T1_F4_R27_C5_Trans__Run.png
11072,275.44,158.18,30.1,1.5,1.04,135.58,,,,,,,,,
11179,Transmission,,,,,,1,A1,1,4,23,27,12/8/22,1:39:49 PM,20221208_133949566_Printed_T1_F4_R27_C23_Trans__Run.png
11179,207.13,166.67,27.83,1.69,1.07,149.19,,,,,,,,,
11311,Transmission,,,,,,1,A1,1,4,41,27,12/8/22,1:40:10 PM,20221208_134010432_Printed_T1_F4_R27_C41_Trans__Run.png
11311,207.76,167.37,28.23,1.62,1.06,141.45,,,,,,,,,
11879,Transmission,,,,,,1,A1,1,4,5,33,12/8/22,1:40:47 PM,20221208_134047972_Printed_T1_F4_R33_C5_Trans__Run.png
11879,340.39,148.44,31.14,1.6,1.05,148.08,,,,,,,,,
12389,Transmission,,,,,,1,A1,1,4,23,33,12/8/22,1:41:21 PM,20221208_134121840_Printed_T1_F4_R33_C23_Trans__Run.png
12389,337.96,162.17,25.49,1.55,1.05,150.4,,,,,,,,,
12429,Transmission,,,,,,1,A1,1,4,41,33,12/8/22,1:41:25 PM,20221208_134125981_Printed_T1_F4_R33_C41_Trans__Run.png
12429,347,164.81,28.6,1.56,1.05,145.15,,,,,,,,,
12490,Transmission,,,,,,1,A1,1,4,5,51,12/8/22,1:41:31 PM,20221208_134131484_Printed_T1_F4_R51_C5_Trans__Run.png
12490,210.43,142.08,30.04,1.7,1.07,140.31,,,,,,,,,
12611,Transmission,,,,,,1,A1,1,4,23,51,12/8/22,1:41:40 PM,20221208_134140698_Printed_T1_F4_R51_C23_Trans__Run.png
12611,344.39,138.94,30.48,1.65,1.06,145.73,,,,,,,,,
12628,Transmission,,,,,,1,A1,1,4,41,51,12/8/22,1:41:43 PM,20221208_134143366_Printed_T1_F4_R51_C41_Trans__Run.png
12628,212.47,147.84,26.86,1.5,1.04,139.08,,,,,,,,,
12681,Transmission,,,,,,1,A1,1,4,5,57,12/8/22,1:41:48 PM,20221208_134148355_Printed_T1_F4_R57_C5_Trans__Run.png
12681,335.25,162.27,27.36,1.54,1.05,137.25,,,,,,,,,
12753,Transmission,,,,,,1,A1,1,4,23,57,12/8/22,1:41:54 PM,20221208_134154506_Printed_T1_F4_R57_C23_Trans__Run.png
12753,230.51,152.05,29.26,1.65,1.06,148.59,,,,,,,,,
12820,Transmission,,,,,,1,A1,1,4,41,57,12/8/22,1:42:00 PM,20221208_134200308_Printed_T1_F4_R57_C41_Trans__Run.png
12820,304.26,149.5,30.46,1.55,1.05,146.79,,,,,,,,,
12853,Transmission,,,,,,1,A1,1,6,5,9,12/8/22,1:42:04 PM,20221208_134204069_Printed_T1_F6_R9_C5_Trans__Run.png
12853,344.45,161.4,32.07,1.57,1.05,150.69,,,,,,,,,
12855,Transmission,,,,,,1,A1,1,6,23,9,12/8/22,1:42:05 PM,20221208_134205332_Printed_T1_F6_R9_C23_Trans__Run.png
12855,288.05,169.33,30.44,1.5,1.04,146.9,,,,,,,,,
12894,Transmission,,,,,,1,A1,1,6,41,9,12/8/22,1:42:09 PM,20221208_134209047_Printed_T1_F6_R9_C41_Trans__Run.png
12894,287.02,154.53,30.69,1.51,1.04,141.6,,,,,,,,,
12924,Transmission,,,,,,1,A1,1,6,59,9,12/8/22,1:42:12 PM,20221208_134212200_Printed_T1_F6_R9_C59_Trans__Run.png
12924,250.08,138.95,28.77,1.62,1.06,137.13,,,,,,,,,
12934,Transmission,,,,,,1,A1,1,6,5,27,12/8/22,1:42:14 PM,20221208_134214160_Printed_T1_F6_R27_C5_Trans__Run.png
12934,211.68,152.77,28.22,1.42,1.03,147.61,,,,,,,,,
12967,Transmission,,,,,,1,A1,1,6,23,27,12/8/22,1:42:17 PM,20221208_134217450_Printed_T1_F6_R27_C23_Trans__Run.png
12967,225.09,145.08,33.53,1.79,1.08,152.96,,,,,,,,,
12972,Transmission,,,,,,1,A1,1,6,41,27,12/8/22,1:42:18 PM,20221208_134218977_Printed_T1_F6_R27_C41_Trans__Run.png
12972,267.35,133.06,25.79,1.79,1.08,131.3,,,,,,,,,
13010,Transmission,,,,,,1,A1,1,6,59,27,12/8/22,1:42:22 PM,20221208_134222633_Printed_T1_F6_R27_C59_Trans__Run.png
13010,217.04,147.64,29.13,1.54,1.05,146.3,,,,,,,,,
