DropNo,X,Y,Diameter,Elongation,Circularity,Intensity,Plate,Well,Target,Field,XPos,YPos,Date        ,Time    ,ImageFile
1,Transmission,,,,,,1,A1,1,2,1,9,12/8/22,11:56:18 AM,20221208_115618052_Printed_T1_F2_R9_C1_Trans__Run.png
1,256.09,136.68,27.78,1.59,1.05,151.12,,,,,,,,,
4,Transmission,,,,,,1,A1,1,2,19,9,12/8/22,11:56:19 AM,20221208_115619372_Printed_T1_F2_R9_C19_Trans__Run.png
4,241.96,136.61,22.66,1.87,1.1,144.31,,,,,,,,,
38,Transmission,,,,,,1,A1,1,2,37,9,12/8/22,11:56:22 AM,20221208_115622696_Printed_T1_F2_R9_C37_Trans__Run.png
38,221.13,162.47,25.56,1.7,1.07,147.4,,,,,,,,,
127,Transmission,,,,,,1,A1,1,2,55,9,12/8/22,11:56:29 AM,20221208_115629651_Printed_T1_F2_R9_C55_Trans__Run.png
127,220.59,153.14,24.65,1.62,1.06,143.49,,,,,,,,,
218,Transmission,,,,,,1,A1,1,2,1,15,12/8/22,11:56:49 AM,20221208_115649403_Printed_T1_F2_R15_C1_Trans__Run.png
218,215.24,141.06,25.95,1.42,1.03,131.45,,,,,,,,,
238,Transmission,,,,,,1,A1,1,2,19,15,12/8/22,11:56:51 AM,20221208_115651847_Printed_T1_F2_R15_C19_Trans__Run.png
238,168.32,152.63,25.4,1.69,1.07,145.66,,,,,,,,,
298,Transmission,,,,,,1,A1,1,2,37,15,12/8/22,11:56:56 AM,20221208_115656895_Printed_T1_F2_R15_C37_Trans__Run.png
298,346.05,151.52,26.3,1.73,1.07,152.02,,,,,,,,,
389,Transmission,,,,,,1,A1,1,2,55,15,12/8/22,11:57:03 AM,20221208_115703949_Printed_T1_F2_R15_C55_Trans__Run.png
389,332.34,145.6,24.72,1.61,1.06,139.98,,,,,,,,,
393,Transmission,,,,,,1,A1,1,2,1,33,12/8/22,11:57:05 AM,20221208_115705476_Printed_T1_F2_R33_C1_Trans__Run.png
393,206.11,148.07,25.68,1.65,1.06,143.43,,,,,,,,,
538,Transmission,,,,,,1,A1,1,2,19,33,12/8/22,11:57:20 AM,20221208_115720879_Printed_T1_F2_R33_C19_Trans__Run.png
538,316.44,129.83,28.38,1.65,1.06,147.24,,,,,,,,,
599,Transmission,,,,,,1,A1,1,2,37,33,12/8/22,11:57:26 AM,20221208_115726018_Printed_T1_F2_R33_C37_Trans__Run.png
599,291.85,150.27,24.04,1.58,1.05,136.71,,,,,,,,,
778,Transmission,,,,,,1,A1,1,2,55,33,12/8/22,11:57:38 AM,20221208_115738625_Printed_T1_F2_R33_C55_Trans__Run.png
778,218.93,143.76,22.27,1.82,1.09,147.54,,,,,,,,,
795,Transmission,,,,,,1,A1,1,2,1,39,12/8/22,11:57:41 AM,20221208_115741027_Printed_T1_F2_R39_C1_Trans__Run.png
795,235.88,137.94,21.42,1.94,1.11,141.79,,,,,,,,,
822,Transmission,,,,,,1,A1,1,2,19,39,12/8/22,11:57:43 AM,20221208_115743930_Printed_T1_F2_R39_C19_Trans__Run.png
822,324.02,130.74,29.07,1.62,1.06,145.22,,,,,,,,,
925,Transmission,,,,,,1,A1,1,2,37,39,12/8/22,11:57:51 AM,20221208_115751724_Printed_T1_F2_R39_C37_Trans__Run.png
925,251.14,141.22,23.28,1.92,1.1,154.88,,,,,,,,,
1110,Transmission,,,,,,1,A1,1,2,55,39,12/8/22,11:58:04 AM,20221208_115804887_Printed_T1_F2_R39_C55_Trans__Run.png
1110,260.14,156.41,22.59,2,1.12,155.51,,,,,,,,,
1131,Transmission,,,,,,1,A1,1,2,1,57,12/8/22,11:58:07 AM,20221208_115807490_Printed_T1_F2_R57_C1_Trans__Run.png
1131,277.19,131.09,26.13,1.81,1.09,145.46,,,,,,,,,
1149,Transmission,,,,,,1,A1,1,2,19,57,12/8/22,11:58:09 AM,20221208_115809782_Printed_T1_F2_R57_C19_Trans__Run.png
1149,295.51,129.85,21.21,1.81,1.09,144.57,,,,,,,,,
1195,Transmission,,,,,,1,A1,1,2,37,57,12/8/22,11:58:13 AM,20221208_115813956_Printed_T1_F2_R57_C37_Trans__Run.png
1195,328.26,151.52,22.53,1.74,1.08,157.35,,,,,,,,,
1259,Transmission,,,,,,1,A1,1,2,55,57,12/8/22,11:58:19 AM,20221208_115819244_Printed_T1_F2_R57_C55_Trans__Run.png
1259,347.6,122.15,20.12,1.87,1.1,142.36,,,,,,,,,
1263,Transmission,,,,,,1,A1,1,3,1,9,12/8/22,11:58:20 AM,20221208_115820781_Printed_T1_F3_R9_C1_Trans__Run.png
1263,166.58,150.93,25.83,1.76,1.08,149.9,,,,,,,,,
1298,Transmission,,,,,,1,A1,1,3,19,9,12/8/22,11:58:24 AM,20221208_115824369_Printed_T1_F3_R9_C19_Trans__Run.png
1298,342.13,167.8,28.53,1.88,1.1,152.54,,,,,,,,,
1308,Transmission,,,,,,1,A1,1,3,37,9,12/8/22,11:58:26 AM,20221208_115826401_Printed_T1_F3_R9_C37_Trans__Run.png
1308,226.06,161.25,26.09,1.67,1.06,143.58,,,,,,,,,
1319,Transmission,,,,,,1,A1,1,3,55,9,12/8/22,11:58:28 AM,20221208_115828541_Printed_T1_F3_R9_C55_Trans__Run.png
1319,193.18,138.44,25.34,1.65,1.06,141.41,,,,,,,,,
1358,Transmission,,,,,,1,A1,1,3,1,15,12/8/22,11:58:32 AM,20221208_115832513_Printed_T1_F3_R15_C1_Trans__Run.png
1358,223.28,163.54,27.83,1.7,1.07,141.56,,,,,,,,,
1376,Transmission,,,,,,1,A1,1,3,19,15,12/8/22,11:58:35 AM,20221208_115835032_Printed_T1_F3_R15_C19_Trans__Run.png
1376,321.93,170.72,25.36,1.76,1.08,151.2,,,,,,,,,
1380,Transmission,,,,,,1,A1,1,3,37,15,12/8/22,11:58:36 AM,20221208_115836657_Printed_T1_F3_R15_C37_Trans__Run.png
1380,311.46,131.37,24.31,1.95,1.11,144.45,,,,,,,,,
1382,Transmission,,,,,,1,A1,1,3,55,15,12/8/22,11:58:38 AM,20221208_115838176_Printed_T1_F3_R15_C55_Trans__Run.png
1382,245.36,164.09,27.22,1.49,1.04,137.44,,,,,,,,,
1385,Transmission,,,,,,1,A1,1,3,1,33,12/8/22,11:58:39 AM,20221208_115839804_Printed_T1_F3_R33_C1_Trans__Run.png
1385,208.56,136.03,25.76,1.72,1.07,149.68,,,,,,,,,
1421,Transmission,,,,,,1,A1,1,3,19,33,12/8/22,11:58:43 AM,20221208_115843481_Printed_T1_F3_R33_C19_Trans__Run.png
1421,195.89,153,25.78,1.54,1.05,142.43,,,,,,,,,
1464,Transmission,,,,,,1,A1,1,3,37,33,12/8/22,11:58:47 AM,20221208_115847597_Printed_T1_F3_R33_C37_Trans__Run.png
1464,233.63,138.66,28.42,1.65,1.06,151.63,,,,,,,,,
1596,Transmission,,,,,,1,A1,1,3,55,33,12/8/22,11:58:57 AM,20221208_115857485_Printed_T1_F3_R33_C55_Trans__Run.png
1596,292.82,133.13,28.85,1.7,1.07,135.79,,,,,,,,,
1609,Transmission,,,,,,1,A1,1,3,1,39,12/8/22,11:58:59 AM,20221208_115859803_Printed_T1_F3_R39_C1_Trans__Run.png
1609,236.57,135.64,22.62,1.57,1.05,152.58,,,,,,,,,
1616,Transmission,,,,,,1,A1,1,3,19,39,12/8/22,11:59:01 AM,20221208_115901577_Printed_T1_F3_R39_C19_Trans__Run.png
1616,317.94,168.69,25.67,1.74,1.08,155.36,,,,,,,,,
1684,Transmission,,,,,,1,A1,1,3,37,39,12/8/22,11:59:07 AM,20221208_115907353_Printed_T1_F3_R39_C37_Trans__Run.png
1684,245.08,161.33,21.65,1.68,1.07,147.92,,,,,,,,,
1698,Transmission,,,,,,1,A1,1,3,55,39,12/8/22,11:59:09 AM,20221208_115909692_Printed_T1_F3_R39_C55_Trans__Run.png
1698,304.22,150.54,24.95,1.7,1.07,152.33,,,,,,,,,
1723,Transmission,,,,,,1,A1,1,3,1,57,12/8/22,11:59:12 AM,20221208_115912798_Printed_T1_F3_R57_C1_Trans__Run.png
1723,301.91,144.53,29.56,1.65,1.06,150.44,,,,,,,,,
1880,Transmission,,,,,,1,A1,1,3,19,57,12/8/22,11:59:31 AM,20221208_115931361_Printed_T1_F3_R57_C19_Trans__Run.png
1880,198.6,133.58,24.34,1.72,1.07,143.08,,,,,,,,,
1890,Transmission,,,,,,1,A1,1,3,37,57,12/8/22,11:59:33 AM,20221208_115933395_Printed_T1_F3_R57_C37_Trans__Run.png
1890,307.85,158.1,26.35,1.66,1.06,153.87,,,,,,,,,
1937,Transmission,,,,,,1,A1,1,3,55,57,12/8/22,11:59:37 AM,20221208_115937823_Printed_T1_F3_R57_C55_Trans__Run.png
1937,262.01,133.29,28.16,1.61,1.06,139.61,,,,,,,,,
2008,Transmission,,,,,,1,A1,1,6,1,9,12/8/22,11:59:43 AM,20221208_115943816_Printed_T1_F6_R9_C1_Trans__Run.png
2008,217.01,151.42,24,1.52,1.04,137.81,,,,,,,,,
2051,Transmission,,,,,,1,A1,1,6,19,9,12/8/22,11:59:47 AM,20221208_115947690_Printed_T1_F6_R9_C19_Trans__Run.png
2051,262.78,165.89,25.42,1.63,1.06,148.6,,,,,,,,,
2166,Transmission,,,,,,1,A1,1,6,37,9,12/8/22,11:59:56 AM,20221208_115956249_Printed_T1_F6_R9_C37_Trans__Run.png
2166,335.98,132.7,25.96,1.66,1.06,142.54,,,,,,,,,
