DropNo,X,Y,Diameter,Elongation,Circularity,Intensity,Plate,Well,Target,Field,XPos,YPos,Date        ,Time    ,ImageFile
2231,Transmission,,,,,,1,A1,1,6,55,9,12/8/22,12:00:01 PM,20221208_120001692_Printed_T1_F6_R9_C55_Trans__Run.png
2231,226.78,146.55,21.38,1.94,1.11,150.51,,,,,,,,,
2414,Transmission,,,,,,1,A1,1,6,1,15,12/8/22,12:00:14 PM,20221208_120014699_Printed_T1_F6_R15_C1_Trans__Run.png
2414,190.16,138.25,25.1,1.48,1.04,124.13,,,,,,,,,
2444,Transmission,,,,,,1,A1,1,6,19,15,12/8/22,12:00:17 PM,20221208_120017806_Printed_T1_F6_R15_C19_Trans__Run.png
2444,225.94,143.26,28.29,1.63,1.06,153.08,,,,,,,,,
2465,Transmission,,,,,,1,A1,1,6,37,15,12/8/22,12:00:20 PM,20221208_120020337_Printed_T1_F6_R15_C37_Trans__Run.png
2465,247.42,155.72,32.77,1.49,1.04,156.64,,,,,,,,,
2467,Transmission,,,,,,1,A1,1,6,55,15,12/8/22,12:00:21 PM,20221208_120021692_Printed_T1_F6_R15_C55_Trans__Run.png
2467,200.1,136.92,22.44,1.95,1.11,147.64,,,,,,,,,
2472,Transmission,,,,,,1,A1,1,6,1,33,12/8/22,12:00:23 PM,20221208_120023293_Printed_T1_F6_R33_C1_Trans__Run.png
2472,304.89,144.02,28.58,1.47,1.04,139.88,,,,,,,,,
2570,Transmission,,,,,,1,A1,1,6,19,33,12/8/22,12:00:30 PM,20221208_120030652_Printed_T1_F6_R33_C19_Trans__Run.png
2570,238.05,150.47,24.17,1.63,1.06,147.21,,,,,,,,,
2671,Transmission,,,,,,1,A1,1,6,37,33,12/8/22,12:00:38 PM,20221208_120038343_Printed_T1_F6_R33_C37_Trans__Run.png
2671,264.42,138.69,24.78,1.65,1.06,151.65,,,,,,,,,
2748,Transmission,,,,,,1,A1,1,6,55,33,12/8/22,12:00:44 PM,20221208_120044499_Printed_T1_F6_R33_C55_Trans__Run.png
2748,286.17,173.02,24.74,1.65,1.06,136.81,,,,,,,,,
2829,Transmission,,,,,,1,A1,1,6,1,39,12/8/22,12:00:51 PM,20221208_120051000_Printed_T1_F6_R39_C1_Trans__Run.png
2829,253.86,145.21,28.54,1.7,1.07,157.3,,,,,,,,,
2876,Transmission,,,,,,1,A1,1,6,19,39,12/8/22,12:00:55 PM,20221208_120055207_Printed_T1_F6_R39_C19_Trans__Run.png
2876,329.71,153.65,21.69,1.74,1.08,158.89,,,,,,,,,
2935,Transmission,,,,,,1,A1,1,6,37,39,12/8/22,12:01:00 PM,20221208_120100211_Printed_T1_F6_R39_C37_Trans__Run.png
2935,326.17,158.22,22.1,1.72,1.07,146.59,,,,,,,,,
3169,Transmission,,,,,,1,A1,1,6,55,39,12/8/22,12:01:16 PM,20221208_120116349_Printed_T1_F6_R39_C55_Trans__Run.png
3169,220.98,131.15,27.69,1.47,1.04,132.27,,,,,,,,,
3182,Transmission,,,,,,1,A1,1,6,1,57,12/8/22,12:01:18 PM,20221208_120118479_Printed_T1_F6_R57_C1_Trans__Run.png
3182,196.69,165.62,26,1.71,1.07,151.28,,,,,,,,,
3216,Transmission,,,,,,1,A1,1,6,19,57,12/8/22,12:01:21 PM,20221208_120121849_Printed_T1_F6_R57_C19_Trans__Run.png
3216,271.18,160.39,30.13,1.72,1.07,153.84,,,,,,,,,
3285,Transmission,,,,,,1,A1,1,6,37,57,12/8/22,12:01:27 PM,20221208_120127491_Printed_T1_F6_R57_C37_Trans__Run.png
3285,239.56,135.47,26.91,1.65,1.06,137.85,,,,,,,,,
3294,Transmission,,,,,,1,A1,1,6,55,57,12/8/22,12:01:29 PM,20221208_120129330_Printed_T1_F6_R57_C55_Trans__Run.png
3294,243.01,135.04,24.58,1.7,1.07,150.55,,,,,,,,,
3331,Transmission,,,,,,1,A1,1,7,1,9,12/8/22,12:01:33 PM,20221208_120133017_Printed_T1_F7_R9_C1_Trans__Run.png
3331,306.76,158.92,26.33,1.6,1.06,138.12,,,,,,,,,
3360,Transmission,,,,,,1,A1,1,7,19,9,12/8/22,12:01:36 PM,20221208_120136231_Printed_T1_F7_R9_C19_Trans__Run.png
3360,199.74,138.89,28.81,1.65,1.06,142.75,,,,,,,,,
3554,Transmission,,,,,,1,A1,1,7,37,9,12/8/22,12:01:50 PM,20221208_120150078_Printed_T1_F7_R9_C37_Trans__Run.png
3554,184.86,136.09,27.26,1.65,1.06,139.43,,,,,,,,,
3598,Transmission,,,,,,1,A1,1,7,55,9,12/8/22,12:01:54 PM,20221208_120154306_Printed_T1_F7_R9_C55_Trans__Run.png
3598,229.11,161.72,26.8,1.64,1.06,141.13,,,,,,,,,
3636,Transmission,,,,,,1,A1,1,7,1,15,12/8/22,12:01:58 PM,20221208_120158273_Printed_T1_F7_R15_C1_Trans__Run.png
3636,213.05,143.76,24.05,1.49,1.04,133.84,,,,,,,,,
3764,Transmission,,,,,,1,A1,1,7,19,15,12/8/22,12:02:07 PM,20221208_120207918_Printed_T1_F7_R15_C19_Trans__Run.png
3764,223.65,158.76,24.51,1.53,1.04,141.88,,,,,,,,,
3790,Transmission,,,,,,1,A1,1,7,37,15,12/8/22,12:02:10 PM,20221208_120210986_Printed_T1_F7_R15_C37_Trans__Run.png
3790,268.09,142.06,30.25,1.63,1.06,133.82,,,,,,,,,
3858,Transmission,,,,,,1,A1,1,7,55,15,12/8/22,12:02:16 PM,20221208_120216775_Printed_T1_F7_R15_C55_Trans__Run.png
3858,130.23,161.2,22.31,1.58,1.05,130.93,,,,,,,,,
3875,Transmission,,,,,,1,A1,1,7,1,33,12/8/22,12:02:19 PM,20221208_120219357_Printed_T1_F7_R33_C1_Trans__Run.png
3875,216.72,135.23,27.89,1.63,1.06,139.31,,,,,,,,,
3881,Transmission,,,,,,1,A1,1,7,19,33,12/8/22,12:02:21 PM,20221208_120221086_Printed_T1_F7_R33_C19_Trans__Run.png
3881,305.15,133.27,28.07,1.66,1.06,146.18,,,,,,,,,
3883,Transmission,,,,,,1,A1,1,7,37,33,12/8/22,12:02:22 PM,20221208_120222569_Printed_T1_F7_R33_C37_Trans__Run.png
3883,198.34,162.38,26.84,1.72,1.07,144.7,,,,,,,,,
3888,Transmission,,,,,,1,A1,1,7,55,33,12/8/22,12:02:24 PM,20221208_120224300_Printed_T1_F7_R33_C55_Trans__Run.png
3888,247.62,150.9,23.19,1.68,1.07,137.78,,,,,,,,,
4020,Transmission,,,,,,1,A1,1,7,1,39,12/8/22,12:02:34 PM,20221208_120234305_Printed_T1_F7_R39_C1_Trans__Run.png
4020,165.55,146.08,21.51,1.42,1.03,128.83,,,,,,,,,
4077,Transmission,,,,,,1,A1,1,7,19,39,12/8/22,12:02:39 PM,20221208_120239295_Printed_T1_F7_R39_C19_Trans__Run.png
4077,295.83,156.76,21.35,1.7,1.07,144.47,,,,,,,,,
4120,Transmission,,,,,,1,A1,1,7,37,39,12/8/22,12:02:43 PM,20221208_120243430_Printed_T1_F7_R39_C37_Trans__Run.png
4120,262.01,160.04,29.44,1.66,1.06,147.82,,,,,,,,,
4177,Transmission,,,,,,1,A1,1,7,55,39,12/8/22,12:02:48 PM,20221208_120248549_Printed_T1_F7_R39_C55_Trans__Run.png
4177,260.38,154.54,21.12,1.68,1.07,141.97,,,,,,,,,
4180,Transmission,,,,,,1,A1,1,7,1,57,12/8/22,12:02:50 PM,20221208_120250200_Printed_T1_F7_R57_C1_Trans__Run.png
4180,252.22,129.83,24.73,1.69,1.07,142.41,,,,,,,,,
4252,Transmission,,,,,,1,A1,1,7,19,57,12/8/22,12:02:56 PM,20221208_120256095_Printed_T1_F7_R57_C19_Trans__Run.png
4252,326.77,130.49,26.65,1.64,1.06,146.95,,,,,,,,,
4260,Transmission,,,,,,1,A1,1,7,37,57,12/8/22,12:02:57 PM,20221208_120257973_Printed_T1_F7_R57_C37_Trans__Run.png
4260,327.78,168.12,28.32,1.64,1.06,147.83,,,,,,,,,
4271,Transmission,,,,,,1,A1,1,7,55,57,12/8/22,12:03:00 PM,20221208_120300091_Printed_T1_F7_R57_C55_Trans__Run.png
4271,266.36,133.11,25.43,1.67,1.07,135.67,,,,,,,,,
4275,Transmission,,,,,,1,A1,1,8,1,9,12/8/22,12:03:01 PM,20221208_120301803_Printed_T1_F8_R9_C1_Trans__Run.png
4275,325.28,134.15,24.94,1.78,1.08,141.94,,,,,,,,,
4328,Transmission,,,,,,1,A1,1,8,19,9,12/8/22,12:03:06 PM,20221208_120306833_Printed_T1_F8_R9_C19_Trans__Run.png
4328,289.97,133.61,25.02,1.74,1.08,145.07,,,,,,,,,
4375,Transmission,,,,,,1,A1,1,8,37,9,12/8/22,12:03:11 PM,20221208_120311416_Printed_T1_F8_R9_C37_Trans__Run.png
4375,183.55,137.97,20.2,1.78,1.08,151.51,,,,,,,,,
4409,Transmission,,,,,,1,A1,1,8,1,15,12/8/22,12:03:15 PM,20221208_120315189_Printed_T1_F8_R15_C1_Trans__Run.png
4409,188.97,147.15,25.52,1.74,1.08,151.61,,,,,,,,,
4461,Transmission,,,,,,1,A1,1,8,19,15,12/8/22,12:03:20 PM,20221208_120320037_Printed_T1_F8_R15_C19_Trans__Run.png
4461,282.11,170.61,26.03,1.65,1.06,139.02,,,,,,,,,
4484,Transmission,,,,,,1,A1,1,8,37,15,12/8/22,12:03:23 PM,20221208_120323099_Printed_T1_F8_R15_C37_Trans__Run.png
4484,179.42,163.58,23.08,1.92,1.1,152.7,,,,,,,,,
4528,Transmission,,,,,,1,A1,1,8,1,33,12/8/22,12:03:27 PM,20221208_120327541_Printed_T1_F8_R33_C1_Trans__Run.png
4528,223.92,164.67,25.24,1.75,1.08,139.06,,,,,,,,,
4563,Transmission,,,,,,1,A1,1,8,19,33,12/8/22,12:03:31 PM,20221208_120331292_Printed_T1_F8_R33_C19_Trans__Run.png
4563,282.87,142.39,28.49,1.7,1.07,145.53,,,,,,,,,
4565,Transmission,,,,,,1,A1,1,8,37,33,12/8/22,12:03:32 PM,20221208_120332954_Printed_T1_F8_R33_C37_Trans__Run.png
4565,282.41,165.21,22.58,1.95,1.11,145.52,,,,,,,,,
4583,Transmission,,,,,,1,A1,1,8,1,39,12/8/22,12:03:35 PM,20221208_120335696_Printed_T1_F8_R39_C1_Trans__Run.png
4583,206.27,136.66,23.4,1.72,1.07,136.41,,,,,,,,,
4586,Transmission,,,,,,1,A1,1,8,19,39,12/8/22,12:03:37 PM,20221208_120337386_Printed_T1_F8_R39_C19_Trans__Run.png
4586,337.57,136.2,21.31,1.84,1.09,147.9,,,,,,,,,
4628,Transmission,,,,,,1,A1,1,8,37,39,12/8/22,12:03:41 PM,20221208_120341754_Printed_T1_F8_R39_C37_Trans__Run.png
4628,190.32,159.58,21.21,1.95,1.11,154.33,,,,,,,,,
4690,Transmission,,,,,,1,A1,1,8,1,57,12/8/22,12:03:47 PM,20221208_120347442_Printed_T1_F8_R57_C1_Trans__Run.png
4690,239.75,142.58,30.41,1.56,1.05,149.54,,,,,,,,,
4759,Transmission,,,,,,1,A1,1,8,19,57,12/8/22,12:03:53 PM,20221208_120353429_Printed_T1_F8_R57_C19_Trans__Run.png
4759,292.73,149.91,25.16,1.68,1.07,151.94,,,,,,,,,
4770,Transmission,,,,,,1,A1,1,8,37,57,12/8/22,12:03:55 PM,20221208_120355705_Printed_T1_F8_R57_C37_Trans__Run.png
4770,303.4,171.96,26.14,1.61,1.06,144.14,,,,,,,,,
4900,Transmission,,,,,,1,A1,1,10,1,9,12/8/22,12:04:11 PM,20221208_120411567_Printed_T1_F10_R9_C1_Trans__Run.png
4900,260.17,166.25,26.82,1.54,1.05,149.23,,,,,,,,,
4981,Transmission,,,,,,1,A1,1,10,19,9,12/8/22,12:04:18 PM,20221208_120418035_Printed_T1_F10_R9_C19_Trans__Run.png
4981,277.65,164.47,22.35,1.83,1.09,154.83,,,,,,,,,
5052,Transmission,,,,,,1,A1,1,10,37,9,12/8/22,12:04:29 PM,20221208_120429882_Printed_T1_F10_R9_C37_Trans__Run.png
5052,280.15,170.17,26.07,1.69,1.07,144.83,,,,,,,,,
5073,Transmission,,,,,,1,A1,1,10,55,9,12/8/22,12:04:32 PM,20221208_120432535_Printed_T1_F10_R9_C55_Trans__Run.png
5073,231.24,156.92,27.8,1.8,1.08,156.69,,,,,,,,,
5085,Transmission,,,,,,1,A1,1,10,1,15,12/8/22,12:04:34 PM,20221208_120434548_Printed_T1_F10_R15_C1_Trans__Run.png
5085,203.06,228.36,21.65,1.86,1.09,177.42,,,,,,,,,
5096,Transmission,,,,,,1,A1,1,10,19,15,12/8/22,12:04:36 PM,20221208_120436574_Printed_T1_F10_R15_C19_Trans__Run.png
5096,182.47,154.47,24.76,1.57,1.05,142.14,,,,,,,,,
5136,Transmission,,,,,,1,A1,1,10,37,15,12/8/22,12:04:40 PM,20221208_120440407_Printed_T1_F10_R15_C37_Trans__Run.png
5136,257.84,134.6,27.26,1.73,1.07,144.18,,,,,,,,,
5177,Transmission,,,,,,1,A1,1,10,55,15,12/8/22,12:04:44 PM,20221208_120444321_Printed_T1_F10_R15_C55_Trans__Run.png
5177,326.56,150.38,26.9,1.76,1.08,155.13,,,,,,,,,
5259,Transmission,,,,,,1,A1,1,10,1,33,12/8/22,12:04:50 PM,20221208_120450775_Printed_T1_F10_R33_C1_Trans__Run.png
5259,229.49,159.32,22.24,1.72,1.07,140.62,,,,,,,,,
5265,Transmission,,,,,,1,A1,1,10,19,33,12/8/22,12:04:52 PM,20221208_120452530_Printed_T1_F10_R33_C19_Trans__Run.png
5265,318.96,173.41,27.32,1.55,1.05,151.06,,,,,,,,,
5306,Transmission,,,,,,1,A1,1,10,37,33,12/8/22,12:04:56 PM,20221208_120456510_Printed_T1_F10_R33_C37_Trans__Run.png
5306,325.68,136.05,27.59,1.64,1.06,146.89,,,,,,,,,
5309,Transmission,,,,,,1,A1,1,10,55,33,12/8/22,12:04:58 PM,20221208_120458059_Printed_T1_F10_R33_C55_Trans__Run.png
5309,170.75,148.99,22.02,1.67,1.06,141.56,,,,,,,,,
5378,Transmission,,,,,,1,A1,1,10,1,39,12/8/22,12:05:03 PM,20221208_120503813_Printed_T1_F10_R39_C1_Trans__Run.png
5378,203.19,134.34,22.23,1.83,1.09,144.59,,,,,,,,,
5407,Transmission,,,,,,1,A1,1,10,19,39,12/8/22,12:05:07 PM,20221208_120507063_Printed_T1_F10_R39_C19_Trans__Run.png
5407,291.61,139.59,27.46,1.4,1.03,141.38,,,,,,,,,
5420,Transmission,,,,,,1,A1,1,10,37,39,12/8/22,12:05:09 PM,20221208_120509264_Printed_T1_F10_R39_C37_Trans__Run.png
5420,306.69,130.58,25.55,1.74,1.08,139.31,,,,,,,,,
5448,Transmission,,,,,,1,A1,1,10,55,39,12/8/22,12:05:12 PM,20221208_120512451_Printed_T1_F10_R39_C55_Trans__Run.png
5448,323.14,140.01,24.9,1.81,1.09,141.75,,,,,,,,,
5466,Transmission,,,,,,1,A1,1,10,1,57,12/8/22,12:05:14 PM,20221208_120514976_Printed_T1_F10_R57_C1_Trans__Run.png
5466,261.02,161.77,25.44,1.56,1.05,143.19,,,,,,,,,
5484,Transmission,,,,,,1,A1,1,10,19,57,12/8/22,12:05:17 PM,20221208_120517606_Printed_T1_F10_R57_C19_Trans__Run.png
5484,255.64,148.44,25.82,1.71,1.07,159.51,,,,,,,,,
5536,Transmission,,,,,,1,A1,1,10,37,57,12/8/22,12:05:22 PM,20221208_120522449_Printed_T1_F10_R57_C37_Trans__Run.png
5536,264.04,149.11,26.14,1.78,1.08,149.9,,,,,,,,,
5551,Transmission,,,,,,1,A1,1,10,55,57,12/8/22,12:05:24 PM,20221208_120524861_Printed_T1_F10_R57_C55_Trans__Run.png
5551,294.9,141.71,29.31,1.67,1.06,149.77,,,,,,,,,
5583,Transmission,,,,,,1,A1,1,11,1,9,12/8/22,12:05:28 PM,20221208_120528382_Printed_T1_F11_R9_C1_Trans__Run.png
5583,251.66,171.43,24.71,1.76,1.08,146.31,,,,,,,,,
5626,Transmission,,,,,,1,A1,1,11,19,9,12/8/22,12:05:32 PM,20221208_120532479_Printed_T1_F11_R9_C19_Trans__Run.png
5626,347.02,173.72,24.84,1.73,1.07,145.9,,,,,,,,,
5632,Transmission,,,,,,1,A1,1,11,37,9,12/8/22,12:05:34 PM,20221208_120534243_Printed_T1_F11_R9_C37_Trans__Run.png
5632,310.75,163.15,20.51,1.7,1.07,146.67,,,,,,,,,
5634,Transmission,,,,,,1,A1,1,11,55,9,12/8/22,12:05:35 PM,20221208_120535765_Printed_T1_F11_R9_C55_Trans__Run.png
5634,255.32,172.24,27.03,1.86,1.1,136.84,,,,,,,,,
5646,Transmission,,,,,,1,A1,1,11,1,15,12/8/22,12:05:38 PM,20221208_120538001_Printed_T1_F11_R15_C1_Trans__Run.png
5646,330.35,128.11,25.81,1.48,1.04,134.23,,,,,,,,,
5740,Transmission,,,,,,1,A1,1,11,19,15,12/8/22,12:05:45 PM,20221208_120545304_Printed_T1_F11_R15_C19_Trans__Run.png
5740,195.19,159.07,26.31,1.7,1.07,150.88,,,,,,,,,
5742,Transmission,,,,,,1,A1,1,11,37,15,12/8/22,12:05:46 PM,20221208_120546795_Printed_T1_F11_R15_C37_Trans__Run.png
5742,277.27,147.43,26.22,1.66,1.06,145.61,,,,,,,,,
5755,Transmission,,,,,,1,A1,1,11,55,15,12/8/22,12:05:49 PM,20221208_120549087_Printed_T1_F11_R15_C55_Trans__Run.png
5755,347.11,143.41,26.31,1.5,1.04,138.68,,,,,,,,,
5807,Transmission,,,,,,1,A1,1,11,1,33,12/8/22,12:05:53 PM,20221208_120553870_Printed_T1_F11_R33_C1_Trans__Run.png
5807,284.22,152.48,24.98,1.74,1.08,145.33,,,,,,,,,
5809,Transmission,,,,,,1,A1,1,11,19,33,12/8/22,12:05:55 PM,20221208_120555350_Printed_T1_F11_R33_C19_Trans__Run.png
5809,287.78,136.59,25.04,1.71,1.07,144.46,,,,,,,,,
5812,Transmission,,,,,,1,A1,1,11,37,33,12/8/22,12:05:56 PM,20221208_120556897_Printed_T1_F11_R33_C37_Trans__Run.png
5812,226.16,166.22,26,1.53,1.04,138.22,,,,,,,,,
